Day,Air Temp Low (°C),Air Temp Mean (°C),Air Temp High (°C),Air Humid Low (%),Air Humid Mean (%),Air Humid High (%),Water Temp Low (°C),Water Temp Mean (°C),Water Temp High (°C),Water Humid Low (°C),Water Humid Mean (°C),Water Humid High (%),Canopy Coverage (cm²),Water Consumption (mL),Seed Count
0,19.632,22.5403,25.652,27.609,35.97,43.9139,19.314,23.004,28.917,93.791,93.77,93.748,35.213134765625,0.0,0.0
2,20.4005,23.3079,25.298,25.66,28.595,36.6387,24.213,27.751,30.026,93.899,94.547,95.043,35.213134765625,30.3317,1.8
4,21.9862,24.7408,26.117,27.406,30.231,35.342,25.018,28.658,31.235,94.504,94.978,95.345,35.213134765625,22.7488,3.138
6,21.1733,24.3363,26.325,28.06,33.5,37.74,24.661,28.351,30.827,94.914,95.345,95.691,34.13037109375,22.7488,3.538
8,21.126,24.3398,25.819,23.72,27.31,33.182,24.759,28.347,30.824,95.151,95.518,95.971,39.213623046875,26.5402,3.462
10,20.6711,23.6806,25.1,22.321,25.36,29.8216,24.199,27.484,29.758,95.432,95.734,96.101,47.875,26.5402,3.462
12,20.0623,22.9701,24.806,22.329,24.503,30.2639,23.133,26.571,29.148,95.496,95.906,96.23,73.388427734375,87.203,3.462
14,20.0658,23.127,24.809,21.2499,22.77,25.8154,22.675,26.011,28.285,95.496,95.928,96.403,139.08984375,155.45,3.462
16,20.6307,23.1303,24.661,21.583,25.061,30.1704,22.621,25.603,27.979,95.54,95.906,96.122,282.954833984375,250.23,3.462
18,20.73,23.031,24.66,29.308,33.874,41.2656,22.668,25.347,27.116,95.518,95.95,96.252,423.58837890625,219.905,3.462
20,20.23,22.1175,23.546,34.317,36.489,41.0563,22.058,24.231,26.759,95.647,95.906,96.23,549.16162109375,280.568,3.462
22,19.1112,21.2536,22.886,33.8898,36.933,43.4552,21.145,23.419,25.239,95.82,96.079,96.424,678.472412109375,542.18,3.462
24,19.6759,21.8694,23.6,30.2014,34.54,40.52,21.141,23.365,25.084,95.82,96.101,96.381,678.472412109375,379.146,3.462
26,20.4957,22.6893,24.117,30.7534,35.536,42.383,22.098,24.271,25.889,95.928,96.23,96.511,556.733154296875,409.478,3.462
28,19.4792,21.877,23.509,27.173,33.043,40.2168,21.589,23.762,25.481,96.014,96.209,96.511,602.81689453125,345.023,3.462
